allele_name	gene_family	consensus_gene_name	consensus_product	threshold	alleles_at_maximum_threshold	number_genomes	average_dose	min_dose	max_dose	genomes_containing_fissions	genomes_containing_duplications	number_fission_loci	number_duplicated_loci	no_loci	products	gene_names	min_length(bp)	max_length(bp)	average_length(bp)	cluster	cluster_order	GCA_029747675_1_ASM2974767v1_genomic	GCA_029747785_1_ASM2974778v1_genomic	GCA_029747985_1_ASM2974798v1_genomic	GCA_030235295_1_ASM3023529v1_genomic	GCA_030235365_1_ASM3023536v1_genomic	GCA_030235425_1_ASM3023542v1_genomic	GCA_030239835_1_ASM3023983v1_genomic	GCA_030239865_1_ASM3023986v1_genomic	GCA_030240135_1_ASM3024013v1_genomic	GCA_030240165_1_ASM3024016v1_genomic
g00763_00006	g00763	NA	translation elongation factor Ts	98	1	10	1	1	1	0	0	0	0	10	translation elongation factor Ts(10)	NA(10)	813	813	813.00	1	1	GCA_029747675_1_ASM2974767v1_genomic_01070	GCA_029747785_1_ASM2974778v1_genomic_01056	GCA_029747985_1_ASM2974798v1_genomic_01059	GCA_030235295_1_ASM3023529v1_genomic_01374	GCA_030235365_1_ASM3023536v1_genomic_00317	GCA_030235425_1_ASM3023542v1_genomic_01876	GCA_030239835_1_ASM3023983v1_genomic_01284	GCA_030239865_1_ASM3023986v1_genomic_00414	GCA_030240135_1_ASM3024013v1_genomic_01123	GCA_030240165_1_ASM3024016v1_genomic_00667
g00334_00006	g00334	NA	UMP kinase	98	1	10	1	1	1	0	0	0	0	10	UMP kinase(10)	NA(10)	714	750	739.20	1	2	GCA_029747675_1_ASM2974767v1_genomic_01069	GCA_029747785_1_ASM2974778v1_genomic_01055	GCA_029747985_1_ASM2974798v1_genomic_01058	GCA_030235295_1_ASM3023529v1_genomic_01366	GCA_030235365_1_ASM3023536v1_genomic_00362	GCA_030235425_1_ASM3023542v1_genomic_01880	GCA_030239835_1_ASM3023983v1_genomic_01281	GCA_030239865_1_ASM3023986v1_genomic_00433	GCA_030240135_1_ASM3024013v1_genomic_01115	GCA_030240165_1_ASM3024016v1_genomic_00668
g01042_00006	g01042	NA	ribosome recycling factor	98	1	10	1	1	1	0	0	0	0	10	ribosome recycling factor(10)	NA(10)	558	558	558.00	1	3	GCA_029747675_1_ASM2974767v1_genomic_01068	GCA_029747785_1_ASM2974778v1_genomic_01054	GCA_029747985_1_ASM2974798v1_genomic_01057	GCA_030235295_1_ASM3023529v1_genomic_01363	GCA_030235365_1_ASM3023536v1_genomic_00401	GCA_030235425_1_ASM3023542v1_genomic_01883	GCA_030239835_1_ASM3023983v1_genomic_01275	GCA_030239865_1_ASM3023986v1_genomic_00449	GCA_030240135_1_ASM3024013v1_genomic_01110	GCA_030240165_1_ASM3024016v1_genomic_00669
g00699_00006	g00699	NA	CDP-diglyceride synthetase	98	1	10	1	1	1	0	0	0	0	10	CDP-diglyceride synthetase(10)	NA(10)	846	846	846.00	1	4	GCA_029747675_1_ASM2974767v1_genomic_01067	GCA_029747785_1_ASM2974778v1_genomic_01053	GCA_029747985_1_ASM2974798v1_genomic_01056	GCA_030235295_1_ASM3023529v1_genomic_01356	GCA_030235365_1_ASM3023536v1_genomic_00429	GCA_030235425_1_ASM3023542v1_genomic_01885	GCA_030239835_1_ASM3023983v1_genomic_01269	GCA_030239865_1_ASM3023986v1_genomic_00454	GCA_030240135_1_ASM3024013v1_genomic_01105	GCA_030240165_1_ASM3024016v1_genomic_00670
g00423_00006	g00423	NA	23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN	98	1	10	1	1	1	0	0	0	0	10	23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN(10)	NA(10)	1137	1137	1137.00	1	5	GCA_029747675_1_ASM2974767v1_genomic_01066	GCA_029747785_1_ASM2974778v1_genomic_01052	GCA_029747985_1_ASM2974798v1_genomic_01055	GCA_030235295_1_ASM3023529v1_genomic_01348	GCA_030235365_1_ASM3023536v1_genomic_00469	GCA_030235425_1_ASM3023542v1_genomic_01886	GCA_030239835_1_ASM3023983v1_genomic_01262	GCA_030239865_1_ASM3023986v1_genomic_00468	GCA_030240135_1_ASM3024013v1_genomic_01094	GCA_030240165_1_ASM3024016v1_genomic_00671
g00971_00006	g00971	NA	1-deoxy-D-xylulose-5-phosphate reductoisomerase	98	1	10	1	1	1	0	0	0	0	10	1-deoxy-D-xylulose-5-phosphate reductoisomerase(10)	NA(10)	1119	1194	1186.50	1	6	GCA_029747675_1_ASM2974767v1_genomic_01065	GCA_029747785_1_ASM2974778v1_genomic_01051	GCA_029747985_1_ASM2974798v1_genomic_01054	GCA_030235295_1_ASM3023529v1_genomic_01336	GCA_030235365_1_ASM3023536v1_genomic_00524	GCA_030235425_1_ASM3023542v1_genomic_01888	GCA_030239835_1_ASM3023983v1_genomic_01257	GCA_030239865_1_ASM3023986v1_genomic_00483	GCA_030240135_1_ASM3024013v1_genomic_01084	GCA_030240165_1_ASM3024016v1_genomic_00672
g00420_00006	g00420	NA	flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase	98	1	10	1	1	1	0	0	0	0	10	flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase(10)	NA(10)	1167	1167	1167.00	1	7	GCA_029747675_1_ASM2974767v1_genomic_01064	GCA_029747785_1_ASM2974778v1_genomic_01050	GCA_029747985_1_ASM2974798v1_genomic_01053	GCA_030235295_1_ASM3023529v1_genomic_01315	GCA_030235365_1_ASM3023536v1_genomic_00575	GCA_030235425_1_ASM3023542v1_genomic_01891	GCA_030239835_1_ASM3023983v1_genomic_01250	GCA_030239865_1_ASM3023986v1_genomic_00496	GCA_030240135_1_ASM3024013v1_genomic_01070	GCA_030240165_1_ASM3024016v1_genomic_00673
g00914_00006	g00914	NA	proline--tRNA ligase	98	1	10	1	1	1	0	0	0	0	10	proline--tRNA ligase(10)	NA(10)	1821	1821	1821.00	1	8	GCA_029747675_1_ASM2974767v1_genomic_01063	GCA_029747785_1_ASM2974778v1_genomic_01049	GCA_029747985_1_ASM2974798v1_genomic_01052	GCA_030235295_1_ASM3023529v1_genomic_01275	GCA_030235365_1_ASM3023536v1_genomic_00661	GCA_030235425_1_ASM3023542v1_genomic_01897	GCA_030239835_1_ASM3023983v1_genomic_01233	GCA_030239865_1_ASM3023986v1_genomic_00518	GCA_030240135_1_ASM3024013v1_genomic_01048	GCA_030240165_1_ASM3024016v1_genomic_00674
g00197_00006	g00197	NA	ribosome maturation factor RimP	98	1	10	1	1	1	0	0	0	0	10	ribosome maturation factor RimP(10)	NA(10)	474	474	474.00	1	9	GCA_029747675_1_ASM2974767v1_genomic_01062	GCA_029747785_1_ASM2974778v1_genomic_01048	GCA_029747985_1_ASM2974798v1_genomic_01051	GCA_030235295_1_ASM3023529v1_genomic_01254	GCA_030235365_1_ASM3023536v1_genomic_00776	GCA_030235425_1_ASM3023542v1_genomic_01902	GCA_030239835_1_ASM3023983v1_genomic_01223	GCA_030239865_1_ASM3023986v1_genomic_00554	GCA_030240135_1_ASM3024013v1_genomic_01033	GCA_030240165_1_ASM3024016v1_genomic_00675
g00317_00006	g00317	NA	Transcription antitermination factor NusA%2C contains S1 and KH domains	98	1	10	1	1	1	0	0	0	0	10	Transcription antitermination factor NusA%2C contains S1 and KH domains(10)	NA(10)	1059	1059	1059.00	1	10	GCA_029747675_1_ASM2974767v1_genomic_01061	GCA_029747785_1_ASM2974778v1_genomic_01047	GCA_029747985_1_ASM2974798v1_genomic_01050	GCA_030235295_1_ASM3023529v1_genomic_01245	GCA_030235365_1_ASM3023536v1_genomic_00789	GCA_030235425_1_ASM3023542v1_genomic_01905	GCA_030239835_1_ASM3023983v1_genomic_01214	GCA_030239865_1_ASM3023986v1_genomic_00562	GCA_030240135_1_ASM3024013v1_genomic_01026	GCA_030240165_1_ASM3024016v1_genomic_00676
g00101_00006	g00101	NA	DUF448 domain-containing protein	98	1	10	1	1	1	0	0	0	0	10	DUF448 domain-containing protein(10)	NA(10)	198	198	198.00	1	11	GCA_029747675_1_ASM2974767v1_genomic_01060	GCA_029747785_1_ASM2974778v1_genomic_01046	GCA_029747985_1_ASM2974798v1_genomic_01049	GCA_030235295_1_ASM3023529v1_genomic_01238	GCA_030235365_1_ASM3023536v1_genomic_00829	GCA_030235425_1_ASM3023542v1_genomic_01909	GCA_030239835_1_ASM3023983v1_genomic_01213	GCA_030239865_1_ASM3023986v1_genomic_00575	GCA_030240135_1_ASM3024013v1_genomic_01021	GCA_030240165_1_ASM3024016v1_genomic_00677
g00924_00006	g00924	NA	translation initiation factor IF-2	98	1	10	1	1	1	0	0	0	0	10	translation initiation factor IF-2(10)	NA(10)	2922	2952	2925.00	1	12	GCA_029747675_1_ASM2974767v1_genomic_01059	GCA_029747785_1_ASM2974778v1_genomic_01045	GCA_029747985_1_ASM2974798v1_genomic_01048	GCA_030235295_1_ASM3023529v1_genomic_01204	GCA_030235365_1_ASM3023536v1_genomic_00841	GCA_030235425_1_ASM3023542v1_genomic_01912	GCA_030239835_1_ASM3023983v1_genomic_01193	GCA_030239865_1_ASM3023986v1_genomic_00582	GCA_030240135_1_ASM3024013v1_genomic_00987	GCA_030240165_1_ASM3024016v1_genomic_00678
